true_id,true_name,confused_with_id,confused_with_name,same_genus,epochs
1373151,Pelargonium_alchemilloides,1373231,Pelargonium_quinquelobatum,False,"[(20, 0.25), (30, 0.25), (40, 0.25), (50, 0.25), (60, 0.25), (80, 0.25), (90, 0.25), (110, 0.25)]"
1373535,Gynura_procumbens,1409834,Neolamarckia_cadamba,False,"[(20, 0.5)]"
1374048,Tagetes_erecta,1364159,Tagetes_patula,False,"[(20, 0.2328767123287671), (40, 0.3116438356164384), (50, 0.726027397260274), (70, 0.3698630136986301), (80, 0.4383561643835616), (100, 0.2465753424657534), (110, 0.2157534246575342)]"
1374448,Aspilia_mossambicensis,1379513,Hypericum_annulatum,False,"[(20, 0.3333333333333333)]"
1374466,Schkuhria_pinnata,1392094,Erucastrum_incanum,False,"[(20, 1.0), (50, 1.0)]"
1374933,Montanoa_hibiscifolia,1394394,Anemone_apennina,False,"[(20, 0.6666666666666666)]"
1375776,Acalypha_crenata,1412344,Iva_frutescens,False,"[(20, 0.5), (30, 0.5)]"
1375797,Acalypha_hispida,1408688,Acalypha_hispida,True,"[(20, 1.0), (30, 1.0), (40, 1.0), (50, 1.0), (60, 1.0), (70, 1.0), (80, 1.0), (90, 1.0), (100, 1.0), (110, 1.0)]"
1359669,Nymphaea_alba,1393980,Nymphaea_candida,False,"[(20, 0.3596491228070175), (30, 0.2543859649122807), (70, 0.2631578947368421)]"
1359806,Hunnemannia_fumariifolia,1394399,Papaver_alpinum,False,"[(20, 1.0), (40, 1.0), (50, 1.0), (60, 1.0), (70, 1.0), (80, 1.0), (90, 1.0), (100, 1.0), (110, 1.0)]"
1359815,Papaver_atlanticum,1363491,Phalaris_canariensis,False,"[(20, 0.3333333333333333)]"
1360147,Adonis_aestivalis,1360150,Adonis_flammea,False,"[(20, 0.25)]"
1360150,Adonis_flammea,1360148,Adonis_annua,False,"[(20, 0.3333333333333333), (50, 0.6666666666666666), (70, 0.3333333333333333), (80, 0.6666666666666666), (110, 0.6666666666666666)]"
1360152,Adonis_microcarpa,1360150,Adonis_flammea,False,"[(20, 1.0), (30, 1.0), (40, 1.0), (50, 1.0), (60, 1.0), (70, 1.0), (80, 1.0), (90, 1.0), (100, 1.0), (110, 1.0)]"
1360154,Anemone_palmata,1359488,Trifolium_campestre,False,"[(20, 0.3333333333333333)]"
1360808,Thapsia_garganica,1392094,Erucastrum_incanum,False,"[(20, 0.25)]"
1360811,Thapsia_villosa,1360808,Thapsia_garganica,False,"[(20, 0.3770491803278688)]"
1360838,Fedia_cornucopiae,1392254,Fedia_graciliflora,False,"[(20, 1.0), (30, 1.0), (40, 1.0), (50, 0.5), (60, 0.5), (70, 1.0), (80, 1.0), (90, 1.0), (100, 1.0), (110, 1.0)]"
1358132,Sedum_rubens,1358095,Sedum_album,False,"[(20, 0.2222222222222222), (70, 0.2222222222222222), (80, 0.2222222222222222), (90, 0.5555555555555556), (100, 0.4444444444444444), (110, 0.3333333333333333)]"
1358760,Lavandula_multifida,1398592,Perovskia_atriplicifolia,False,"[(20, 0.25), (80, 0.25), (100, 0.25)]"
1359620,Alcea_rosea,1397305,Alcea_biennis,False,"[(20, 0.2070895522388059), (40, 0.2350746268656716), (50, 0.2294776119402985)]"
1360998,Anthericum_liliago,1394759,Anthericum_ramosum,False,"[(20, 0.3548387096774194), (50, 0.5268817204301075), (90, 0.2473118279569892), (100, 0.2473118279569892)]"
1362434,Centranthus_angustifolius,1362435,Centranthus_lecoqii,False,"[(20, 0.2222222222222222), (50, 0.2222222222222222)]"
1393250,Hypericum_maculatum,1356022,Hypericum_perforatum,False,"[(20, 0.2162162162162162)]"
1408066,Faujasia_salicifolia,1358704,Hypericum_montanum,False,"[(20, 0.5), (30, 0.5)]"
1408071,Fernelia_buxifolia,1356469,Achyranthes_aspera,False,"[(20, 1.0), (30, 1.0), (50, 1.0), (70, 1.0), (90, 1.0), (100, 1.0), (110, 1.0)]"
1408107,Geniostoma_borbonicum,1379303,Guaiacum_officinale,False,"[(20, 0.5)]"
1408227,Acacia_auriculiformis,1567995,Acacia_auriculiformis,True,"[(20, 0.5), (30, 0.5), (60, 0.5), (80, 0.5)]"
1408401,Nephrolepis_abrupta,1356420,Nephrolepis_cordifolia,False,"[(20, 0.25)]"
1408421,Acacia_heterophylla,1363769,Acacia_longifolia,False,"[(20, 0.4), (30, 0.4), (40, 0.4), (70, 0.4)]"
1408451,Paederia_foetida,1358519,Acalypha_virginica,False,"[(20, 0.3333333333333333)]"
1408468,Pelargonium_x_asperum,1355955,Pelargonium_odoratissimum,False,"[(20, 0.3333333333333333), (30, 0.3333333333333333), (50, 0.3333333333333333), (70, 0.6666666666666666)]"
1408502,Antirhea_borbonica,1401736,Pogonophora_schomburgkiana,False,"[(20, 0.5), (40, 0.5)]"
1408507,Phyllanthus_emblica,1379303,Guaiacum_officinale,False,"[(20, 0.3333333333333333)]"
1408508,Phyllanthus_niruroides,1375966,Phyllanthus_amarus,False,"[(20, 1.0), (30, 1.0), (40, 1.0), (50, 1.0), (60, 1.0), (70, 1.0), (80, 1.0), (90, 1.0), (100, 1.0), (110, 1.0)]"
1408557,Pongamia_pinnata,1393614,Liriodendron_tulipifera,False,"[(20, 0.375), (70, 0.25), (90, 0.25), (100, 0.375)]"
1408657,Schefflera_actinophylla,1362954,Schefflera_actinophylla,True,"[(20, 1.0), (30, 1.0), (40, 1.0), (50, 1.0), (70, 1.0), (80, 1.0), (100, 1.0), (110, 1.0)]"
1408718,Acalypha_integrifolia,1713199,Bourreria_costaricensis,False,"[(20, 1.0)]"
1408727,Stemodia_verticillata,1421001,Pelargonium_spp.,False,"[(20, 1.0)]"
1408734,Stoebe_passerinoides,1358755,Lavandula_canariensis,False,"[(20, 0.3333333333333333), (30, 0.3333333333333333)]"
1437724,Sagittaria_montevidensis,1395721,Sagittaria_latifolia,False,"[(20, 0.5)]"
1438033,Sedum_albomarginatum,1358133,Sedum_sediforme,False,"[(20, 0.5), (30, 0.5), (40, 0.5), (50, 0.5), (110, 0.5)]"
1438041,Sedum_glaucophyllum,1413755,Sedum_spathulifolium,False,"[(20, 0.5), (50, 0.5)]"
1438043,Sedum_laxum,1402356,Nymphoides_indica,False,"[(20, 0.5)]"
1438052,Sedum_obtusatum,1397491,Sedum_atratum,False,"[(20, 1.0)]"
1438352,Smilax_bona-nox,1363336,Smilax_aspera,False,"[(20, 0.2142857142857142), (60, 0.2857142857142857), (80, 0.2142857142857142), (90, 0.2857142857142857), (100, 0.2142857142857142), (110, 0.2857142857142857)]"
